region,municipality,district,party,votes
Blekinge län,Karlshamn,5 - Högadal,OG,0
Blekinge län,Karlshamn,6 - Korpadalen,S,388
Blekinge län,Karlshamn,6 - Korpadalen,M,244
Blekinge län,Karlshamn,6 - Korpadalen,SD,202
Blekinge län,Karlshamn,6 - Korpadalen,KD,77
Blekinge län,Karlshamn,6 - Korpadalen,C,65
Blekinge län,Karlshamn,6 - Korpadalen,V,58
Blekinge län,Karlshamn,6 - Korpadalen,L,49
Blekinge län,Karlshamn,6 - Korpadalen,MP,44
Blekinge län,Karlshamn,6 - Korpadalen,BLANK,16
Blekinge län,Karlshamn,6 - Korpadalen,ÖVR,8
Blekinge län,Karlshamn,6 - Korpadalen,FI,3
Blekinge län,Karlshamn,6 - Korpadalen,OGEJ,0
Blekinge län,Karlshamn,6 - Korpadalen,OG,0
Blekinge län,Karlshamn,7 - Mörrum västra,S,344
Blekinge län,Karlshamn,7 - Mörrum västra,SD,286
Blekinge län,Karlshamn,7 - Mörrum västra,M,109
Blekinge län,Karlshamn,7 - Mörrum västra,C,64
Blekinge län,Karlshamn,7 - Mörrum västra,KD,63
Blekinge län,Karlshamn,7 - Mörrum västra,V,62
Blekinge län,Karlshamn,7 - Mörrum västra,MP,18
Blekinge län,Karlshamn,7 - Mörrum västra,L,15
Blekinge län,Karlshamn,7 - Mörrum västra,ÖVR,14
Blekinge län,Karlshamn,7 - Mörrum västra,BLANK,9
Blekinge län,Karlshamn,7 - Mörrum västra,FI,4
Blekinge län,Karlshamn,7 - Mörrum västra,OG,1
Blekinge län,Karlshamn,7 - Mörrum västra,OGEJ,0
Blekinge län,Karlshamn,8 - Mörrum östra,S,487
Blekinge län,Karlshamn,8 - Mörrum östra,SD,263
Blekinge län,Karlshamn,8 - Mörrum östra,M,173
Blekinge län,Karlshamn,8 - Mörrum östra,C,78
Blekinge län,Karlshamn,8 - Mörrum östra,V,42
Blekinge län,Karlshamn,8 - Mörrum östra,KD,39
Blekinge län,Karlshamn,8 - Mörrum östra,L,33
Blekinge län,Karlshamn,8 - Mörrum östra,MP,16
Blekinge län,Karlshamn,8 - Mörrum östra,BLANK,13
Blekinge län,Karlshamn,8 - Mörrum östra,FI,2
Blekinge län,Karlshamn,8 - Mörrum östra,ÖVR,1
Blekinge län,Karlshamn,8 - Mörrum östra,OGEJ,0
Blekinge län,Karlshamn,8 - Mörrum östra,OG,0
Blekinge län,Karlshamn,9 - Prästslätten,S,404
Blekinge län,Karlshamn,9 - Prästslätten,SD,237
Blekinge län,Karlshamn,9 - Prästslätten,M,217
Blekinge län,Karlshamn,9 - Prästslätten,C,75
Blekinge län,Karlshamn,9 - Prästslätten,KD,68
Blekinge län,Karlshamn,9 - Prästslätten,V,65
Blekinge län,Karlshamn,9 - Prästslätten,L,56
Blekinge län,Karlshamn,9 - Prästslätten,MP,48
Blekinge län,Karlshamn,9 - Prästslätten,BLANK,12
